"",validDate,stoxxId,freeFloat
970,20240624,KR107J,0.2517
14367,20240624,IT802L,0.4069
3591,20240923,478321,0.4761
6045,20240923,B02QLW,0.8
33828,20240923,CN6ZKO,0.3665
34142,20240923,CN2NRF,0.3319
4541,20240624,IN706I,0.9012
5488,20240624,CN27CK,0.4345
111,20240624,CN15V0,0.2589
16427,20240923,CN87P3,0.8002
19524,20240624,US92ZW,1.0
20934,20240923,SE80FT,1.0
16798,20240624,CNF2DT,0.4349
7181,20240923,442031,0.9141
19837,20240624,JP43P4,0.5548
31163,20240923,CNF27N,0.4303
14190,20240923,AT701B,1.0
25349,20240923,CN3C9N,0.3189
6871,20240624,IL216C,0.2026
30560,20240923,CN8TZZ,0.6139
20437,20240624,JP47L4,0.9037
8920,20240923,PH30BK,0.3476
1865,20240624,HK50W2,0.4062
31063,20240923,JP461J,0.6459
9471,20240624,CN2F8O,0.7857
248,20240624,KEY,1.0
14328,20240624,CN6ZJN,0.4894
9886,20240923,KR180K,0.7375
20441,20240624,CNF5EX,0.8418
10154,20240624,CN1P9Y,0.3721
25547,20240923,CN1Z0Z,0.4847
20774,20240923,IL905H,1.0
24857,20240923,CNEUU1,0.169
6924,20240624,CN0QWL,0.7077
14067,20240923,CN02MN,0.5492
9470,20240923,ID20FC,0.402
3022,20240624,680452,0.5039
15967,20240923,CN27W4,0.7007
13809,20240624,CN0R3T,0.6231
18903,20240624,CN8GJ6,0.3142
7745,20240624,IT709R,0.2694
3384,20240923,CN16SY,0.4528
3239,20240624,TH503I,0.4812
11102,20240624,CN50W0,0.2931
12770,20240923,CN0VSM,0.6155
12272,20240624,CN0CJU,0.5868
15907,20240624,CN7E2M,0.8283
7481,20240624,KR19DY,0.6143
1533,20240624,CH5020,1.0
8635,20240923,RS102M,0.1544
18592,20240624,JP41R4,0.8634
20535,20240923,CN2RSK,0.6702
8817,20240923,599933,0.9385
14748,20240923,IS903M,0.9291
29038,20240923,CN7F0L,0.3592
2643,20240624,685856,1.0
31421,20240923,SE14HS,0.7997
4735,20240624,TPWT,1.0
29916,20240923,645870,0.611
15703,20240624,CN7UAA,0.6463
20032,20240624,TW30D5,0.9327
30264,20240923,US1973,1.0
33182,20240923,US20RF,0.7992
4009,20240624,CN1E6K,0.5365
9245,20240624,CZ101D,0.1779
32841,20240923,US93A8,0.8999
6075,20240624,CN57T4,0.7702
7923,20240923,B11Y3K,0.4035
20244,20240624,CNE5ZH,0.4233
3626,20240624,EL004,0.287
26306,20240923,SG30MX,0.2618
