Date;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Segment;Size
6/18/2012;KR01BN;KR7000880005;6496755;000880.KS;Hanwha;KR;Emerging;STANDARD
6/18/2012;PH04CM;PHY0001Z1040;6068411;AEV.PS;Aboitiz Equity Ventures Inc;PH;Emerging;STANDARD
6/18/2012;MX00EX;MXP000511016;2043423;ALFAA.MX;ALFA 'A';MX;Emerging;STANDARD
6/18/2012;IN00IN;INE749A01030;6726816;JNSP.NS;Jindal Steel & Power Ltd;IN;Emerging;STANDARD
6/18/2012;600030;CNE1000003K3;6000305;0358.HK;JIANGXI COPPER H;CN;Emerging;STANDARD
6/18/2012;TW1J7G;TW0006244007;6609445;6244.TWO;MOTECH INDUSTRIES;TW;Emerging;STANDARD
6/18/2012;CN00A9;CNE1000002R0;B09N7M0;1088.HK;China Shenhua Energy Co Ltd;CN;Emerging;STANDARD
6/18/2012;IN00OT;INE155A01022;B611LV1;TAMO.NS;Tata Motors Ltd;IN;Emerging;STANDARD
6/18/2012;691316;HK0270001396;6913168;0270.HK;Guangdong Investment Ltd.;CN;Emerging;STANDARD
6/18/2012;BR152A;BRSULACDAM12;B27WYK0;SULA11.SA;SUL AMERICA UNITS;BR;Emerging;STANDARD
6/18/2012;TW01TJ;TW0001717007;6318514;1717.TW;Eternal;TW;Emerging;STANDARD
6/18/2012;KR01JV;KR7001300003;6189538;001300.KS;Cheil Industries;KR;Emerging;STANDARD
6/18/2012;MY00SC;MYL1562OO007;6331566;BSTB.KL;Berjaya Sports Toto BHD;MY;Emerging;STANDARD
6/18/2012;MY21AX;MYL5218OO002;B7GJ601;SKPE.KL;SAPURA KENCANA PETROLEUM;MY;Emerging;STANDARD
6/18/2012;CN0P0O;CNE100000F20;B3NFC51;2009.HK;BBMG 'H';CN;Emerging;STANDARD
6/18/2012;PH227;KYG2113L1068;B41XC98;1313.HK;CHINA RESOURCES CMT.HDG.;CN;Emerging;STANDARD
