Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YNLX5,KR,KR19UF,1.0,KR7047810007,B3N3363,KOREA AEROSPACE INDS.,3185299159.0,0.0006538689085583789
2019-03-18,E004YNQ5U,MX,MX00EX,1.0,MXP000511016,2043423,ALFA 'A',1267291954.0,0.0002601459911372787
2019-03-18,E004YNMYT,TH,TH00DN,0.705036,TH0737010Y08,B08YDG0,CP ALL PCL,10314932611.0,0.0021174192411883906
2019-03-18,E004YNQ9P,IN,IN03RZ,0.8765653,INE066A01013,6099819,Eicher Motors,4344178176.0,0.000891760208612873
2019-03-18,E004YRWH5,BR,BR808I,1.0,BRHAPVACNOR4,BF4J7N9,HAPVIDA PARTP.E INVMS.ON,1126699975.0,0.00023128568029298963
2019-03-18,E004YMSYY,PL,526325,1.0,PLKGHM000017,5263251,KGHM,3677206680.0,0.0007548462478325037
2019-03-18,E004YNMMV,TH,TH008I,0.3748126,TH0003010Z04,6609917,Siam Cement PCL,4525813876.0,0.0009290458546341161
2019-03-18,E004YSI3T,ID,ID00HC,1.0,ID1000094006,6565127,BUKIT ASAM TBK PT,864610464.0,0.0001774847109184301
2019-03-18,E004YRAPE,IN,IN06U5,0.8980938,INE326A01037,6143761,Lupin Ltd,2439631707.0,0.0005008004717652031
2019-03-18,E004YMH7B,KR,KR20LY,1.0,KR7161390000,B7T5KQ0,HANKOOK TIRE,3030984245.0,0.0006221915936957029
2019-03-18,E004YRA1J,KR,KR002D,1.0,KR7005930003,6771720,Samsung Electronics Co Ltd,198449120537.0,0.0407370558847714
2019-03-18,E004YRAPK,IN,IN08N0,0.565208,INE134E01011,B1S7225,Power Fncs,821652376.0,0.00016866640007470604
2019-03-18,E004YRDSS,KR,KR003E,1.0,KR7005490008,6693233,POSCO,19866684770.0,0.004078175028091064
2019-03-18,E004YMVY2,KR,KR005G,1.0,KR7051910008,6346913,LG Chem Ltd,15211035281.0,0.0031224768980107165
2019-03-18,E004YNGT2,BR,BR305A,1.0,BREQTLACNOR0,B128R96,EQUATORIAL ON,4377635693.0,0.0008986282699885372
2019-03-18,E004YQP0E,CN,674347,1.0,KYG8020E1199,BDFBM13,Semiconductor Manufacturing In,3071731475.0,0.0006305560660660913
2019-03-18,E004YO4KQ,IN,IN00SX,0.4517222,INE917I01010,B2QKXW0,Bajaj Auto Ltd,3028504193.0,0.0006216824958642398
2019-03-18,E004YMTGJ,KR,KR17RA,1.0,KR7090431008,B1638D8,AMOREPACIFIC PF.,1053677947.0,0.00021629593164907603
2019-03-18,E004YO950,MY,MY00N7,1.0,MYL6033OO004,6703972,Petronas Gas BHD,1790736190.0,0.0003675970951622914
2019-03-18,E004YPK5G,GR,547565,1.0,GRS298343005,5475658,HELLENIC PETROLEUM,559112291.0,0.00011477293818534697
2019-03-18,E004YREH6,MY,MY21D0,1.0,MYL8869OO009,BF0J5S4,PRESS METAL ALUMINIUM HOLDINGS,2474025694.0,0.0005078607689674669
2019-03-18,E004YQHSN,IN,IN0B9P,1.0,INE256A01028,6188535,Zee Entrtainment,3854782133.0,0.0007912984182077102
2019-03-18,E004YP51M,TW,TW033V,1.0,TW0002354008,6801779,Foxconn Tech,1996594881.0,0.00040985516603174297
2019-03-18,E004YR9I6,CN,CN88YD,1.0,KYG4402L1510,6136233,HENGAN INTL.GP.,6113059049.0,0.0012548709081307836
2019-03-18,E004YR7A5,CL,CL00A7,1.0,CLP321331116,2069355,Banco de Credito e Inversiones,3817050919.0,0.0007835530647933991
2019-03-18,E004YRB6N,CO,CO1012,1.0,COB07PA00086,BJ62LW1,BANCOLOMBIA S.A. - PREF,5841735026.0,0.0011991743051026477
2019-03-18,E004YRQYC,TH,TH80FX,1.0,TH8319010006,BFN4H13,GULF ENERGY DEVELOPMENT,2833427403.0,0.0005816377021430696
2019-03-18,E004YOW20,KR,KR06K1,1.0,KR7086280005,B0V3XR5,HYUNDAI GLOVIS CO LTD,2447510772.0,0.0005024178632172599
2019-03-18,E004YRAVK,MX,MX01J3,1.0,MXP225611567,2406457,CEMEX CPO,6536506955.0,0.0013417950575769146
2019-03-18,E004YMDDC,ID,ID00D8,1.0,ID1000095706,6687184,Unilever Indonesia Tbk PT,3978489624.0,0.0008166927306672218
2019-03-18,E004YPZFI,CN,CN2056,0.02690585,CNE1000000S2,B1W9Z06,BANK OF COMMS.'A',1138532306.0,0.00023371458664384566
2019-03-18,E004YSFIP,EG,EG2051,1.0,EGS37091C013,6298177,EASTERN TOBACCO,849658329.0,0.0001744153803139738
2019-03-18,E004YOEX0,TW,TW03ME,1.0,TW0002395001,6202673,Advantech,3578700180.0,0.0007346251212049103
2019-03-18,E004YRBOF,MY,MY101M,1.0,MYL5819OO007,6436892,HONG LEONG BANK,2936508194.0,0.0006027978258677324
2019-03-18,E004YRBIF,IN,IN0AT8,0.988644,INE628A01036,B0L0W35,UPL Ltd,5106492199.0,0.001048245804883913
2019-03-18,E004YRDGD,CN,CN1257,0.03585085,CNE0000019V8,6441595,ANHUI CONCH CMT. 'A',648374958.0,0.00013309651777170632
2019-03-18,E004YNP8D,KR,KR06EV,1.0,KR7078930005,B01RJV3,GS Holdings,4229360066.0,0.0008681906823232277
2019-03-18,E004YM3WY,CO,CO1023,1.0,COT29PA00058,B66Y3W0,GRUPO AVAL ACCIONES Y VALORES PREF.,1677040042.0,0.0003442578819552684
2019-03-18,E004YM97J,ZA,ZA002B,1.0,ZAE000006896,6777450,Sasol Ltd,14726554053.0,0.003023024006474828
2019-03-18,E004YN6Y7,KR,KR503J,1.0,KR7018260000,BRS2KY0,SAMSUNG SDS,8090640036.0,0.0016608229575330897
2019-03-18,E004YMY3K,KR,KR04IX,1.0,KR7021240007,6173401,COWAY CO,4433044706.0,0.0009100024703528073
2019-03-18,E004YRDK6,GR,462595,1.0,GRS003003035,BG087C6,NATIONAL BANK OF GREECE,1060196657.0,0.0002176340733997073
2019-03-18,E004YNWB3,PH,PH04GQ,0.368511,PHY411571011,6455819,ICTSI,1442575597.0,0.0002961277054490133
2019-03-18,E004YQWR2,IN,IN80U7,0.639725,INE765G01017,BYXH7P9,ICICI LOMBARD GENERAL INSURANC,1184001582.0,0.00024304838682617875
2019-03-18,E004YNLDW,KR,KR17VE,1.0,KR7051901007,6346935,LG HOUSEHOLD 1PF,1537325888.0,0.0003155777684632543
2019-03-18,E004YOZBB,KR,KR00ZA,1.0,KR7000120006,6497112,CJ LOGISTICS,2212342426.0,0.00045414319196949754
