STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CN13TW;6514475;CNE0000009S5;20190318;1;0.1
ZA20W7;6636421;ZAE000011953;20190318;1;1.0
BR10KN;B00FM86;BRBBDCACNOR1;20190318;1;1.0
CN02WX;B1B8WM5;CNE000001NN0;20190318;1;0.0618701
BR0079;B00FM53;BRBBDCACNPR8;20190318;1;1.0
CN8CGZ;B2Q14Z3;KYG9431R1039;20190318;1;1.0
TW00D2;6288190;TW0002409000;20190318;1;1.0
KR50AQ;6186153;KR7001041003;20190318;1;1.0
EW041;B2QRCM4;PLCFRPT00013;20190318;1;1.0
CL0298;2684349;CLP763281068;20190318;1;1.0
CL00FC;2297628;CLP371151059;20190318;1;1.0
TH21T6;B435YH4;TH0991010008;20190318;1;1.0
TH510G;BFXP653;TH6068010Y02;20190318;1;1.0
KR17P8;B682TF7;KR7139480008;20190318;1;1.0
MY001L;6556325;MYL1155OO000;20190318;1;1.0
CN91LU;6971779;HK0000056256;20190318;1;1.0
EV013;B5B9C59;RU0009046510;20190318;1;1.0
697245;6972459;HK0291001490;20190318;1;1.0
TW00LA;6331470;TW0001402006;20190318;1;1.0
EV009;B59FPC7;RU0009046452;20190318;1;1.0
KR518P;6671596;KR7071051007;20190318;1;1.0
IN050A;6294896;INE860A01027;20190318;1;1.0
BR0035;B037HR3;BRITUBACNPR1;20190318;1;1.0
CN01UU;B59QNS2;CNE100000HK9;20190318;1;0.07109
BR00RT;B2QY968;BRHYPEACNOR0;20190318;1;1.0
TW04XQ;6187855;TW0002801008;20190318;1;1.0
TW00UJ;6411877;TW0002880002;20190318;1;1.0
KR012E;6249584;KR7000210005;20190318;1;1.0
KR00U5;B0WGPZ5;KR7023530009;20190318;1;1.0
CN8EWH;B8Z00N3;KYG2140A1076;20190318;1;1.0
CN128A;6346678;CNE0000017Y6;20190318;1;0.0504371
TW00H6;6444066;TW0002886009;20190318;1;1.0
EW059;B544PW9;PLPGER000010;20190318;1;1.0
TH103E;BYM8TY6;TH0375010Z06;20190318;1;0.4969509
TW00AZ;6411673;TW0002881000;20190318;1;1.0
ZA102C;B06KZ97;ZAE000063863;20190318;1;1.0
CN40KN;BJ0JR20;CNE100001RQ3;20190318;1;0.0827586
IN02MT;6099723;INE029A01011;20190318;1;1.0
CN0032;B154564;CNE1000001Z5;20190318;1;1.0
ZA20OZ;B41LJ57;ZAE000156550;20190318;1;1.0
KR05N3;6344122;KR7047040001;20190318;1;1.0
TH21W9;BF5DGM2;TH0083B10Z02;20190318;1;0.5514913
CN7208;BDC68B3;CNE100002G76;20190318;1;0.0381388
TW00OD;6424110;TW0002885001;20190318;1;1.0
ZA903L;BD9FS46;ZAE000248498;20190318;1;1.0
642539;6425395;CNE1000001T8;20190318;1;1.0
MX01QA;B0ZV104;MX01GA000004;20190318;1;0.5680501
ZA00R0;6113485;ZAE000028296;20190318;1;1.0
MX01J3;2406457;MXP225611567;20190318;1;1.0
600030;6000305;CNE1000003K3;20190318;1;1.0
CN0OCZ;B0PH5N3;CNE100000312;20190318;1;1.0
BR10RU;2308445;BRELETACNPB7;20190318;1;1.0
TW05B5;6431756;TW0002883006;20190318;1;1.0
608039;6080396;CNE1000001W2;20190318;1;1.0
50058A;B5BHR47;RU0009029524;20190318;1;1.0
