STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
IN40CL;B0VX289;INE769A01020;20190318;1;0.2734731
IN09HV;6652881;INE722A01011;20190318;1;1.0
IN50W6;6730895;INE387A01021;20190318;1;0.47553
IN05LV;B1SFSX2;INE562A01011;20190318;1;1.0
IN03T1;B1CSBH2;INE230A01023;20190318;1;0.6509357
IN06Y9;B1TJG95;INE180A01020;20190318;1;0.7205882
IN40FO;BZ3D550;INE987B01026;20190318;1;0.7802548
IN1028;B4X3ST8;INE121E01018;20190318;1;0.78125
IN11RY;B07LTC0;INE093A01033;20190318;1;1.0
IN30JR;B691276;INE901L01018;20190318;1;0.7189934
IN610C;BYYDY11;INE615P01015;20190318;1;1.0
IN05KU;B0838V7;INE530B01024;20190318;1;0.763524
IN05S2;6433473;INE571A01020;20190318;1;0.5262367
IN20BI;6139759;INE100A01010;20190318;1;0.5239031
IN04EN;B0LWM42;INE538A01037;20190318;1;0.660793
IN04OX;B192HJ1;INE776C01039;20190318;1;0.7198566
IN07LX;6139447;INE139A01034;20190318;1;0.55517
IN087K;B0SXY97;INE211B01039;20190318;1;1.0
IN12NV;6570400;INE522D01027;20190318;1;0.8617981
IN60OZ;BDT5493;INE095N01031;20190318;1;1.0
IN40BK;B6XVH33;INE225D01027;20190318;1;0.7949652
IN505F;BGSCL06;INE131B01039;20190318;1;0.5141388
IN02Z6;6304728;INE486A01013;20190318;1;0.8806614
IN04U3;B0YVBS3;INE246F01010;20190318;1;0.4302617
IN035D;6099905;INE055A01016;20190318;1;0.4786598
IN11KR;6907484;INE690A01010;20190318;1;0.605449
IN617J;BD0F6Q3;INE951I01027;20190318;1;0.462431
IN403C;BDB5J63;INE217B01036;20190318;1;0.6743088
IN30EM;BWFGD74;INE031B01049;20190318;1;0.7384615
IN508I;BYZ9NH7;INE343H01029;20190318;1;0.8492569
IN70IU;BYVC6Y8;INE405E01023;20190318;1;0.4978673
IN60FQ;BYY2W03;INE600L01024;20190318;1;0.6066734
IN0AS7;6579634;INE692A01016;20190318;1;0.8707009
IN70JV;BBHX570;INE452O01016;20190318;1;0.8574491
IN503D;B02VC93;INE001B01026;20190318;1;1.0
IN712F;6399887;INE545A01016;20190318;1;0.4348592
IN077J;B233M14;INE338I01027;20190318;1;0.7772021
IN603E;BGS92Z9;INE844O01030;20190318;1;0.7389163
IN12X5;B02PD81;INE591G01017;20190318;1;0.6401881
IN806J;BF93XC7;INE149A01033;20190318;1;0.384
IN11U1;6099875;INE042A01014;20190318;1;0.8787661
IN11BI;B1KMXR0;INE371A01025;20190318;1;0.6185567
IN10BH;B4T3LF9;INE811K01011;20190318;1;1.0
IN829O;B03F993;INE410B01029;20190318;1;0.8513657
IN03NV;B1RMW32;INE836F01026;20190318;1;0.5905512
IN047G;B1XC098;INE061F01013;20190318;1;0.5252012
IN506G;B0LX4M7;INE191H01014;20190318;1;0.7903877
IN60BM;B0YJJ27;INE389H01022;20190318;1;0.3259098
IN03X5;6374798;INE510A01028;20190318;1;0.5002084
IN81HV;BFN2YR2;INE00R701025;20190318;1;0.4705882
IN0308;6099938;INE085A01013;20190318;1;0.4020101
IN10Y4;B297KD8;INE668F01031;20190318;1;0.4553216
IN0BBR;BF2LT08;INE763G01038;20190318;1;1.0
IN068J;6330637;INE780C01023;20190318;1;0.504838
IN710D;B0LR6C3;INE499A01024;20190318;1;0.8388675
IN06T4;B1KMXJ2;INE269B01029;20190318;1;0.3833253
IN507H;B1LDTB8;INE235A01022;20190318;1;0.4380361
IN06FQ;B02N266;INE220B01022;20190318;1;0.5227619
IN02GN;B1FDHG5;INE472A01039;20190318;1;0.3683807
IN05GQ;B0C5QR1;INE043D01016;20190318;1;0.5195766
IN70BN;BYY7XH2;INE917M01012;20190318;1;0.9848174
