Date;MSCIPriceUSD;Close
9/16/2021;1226.93;1252.01
9/17/2021;1228.63;1252.96
9/20/2021;1208.64;1231.98
9/21/2021;1211.98;1235.33
9/22/2021;1213.63;1236.36
9/23/2021;1222.87;1247.19
9/24/2021;1216.21;1240.78
9/27/2021;1217.70;1241.68
9/28/2021;1210.37;1234.14
9/29/2021;1201.39;1224.86
9/30/2021;1203.85;1225.06
10/1/2021;1197.43;1218.18
10/4/2021;1188.36;1210.12
10/5/2021;1188.68;1209.44
10/6/2021;1178.94;1198.41
10/7/2021;1203.50;1224.43
10/8/2021;1206.72;1229.55
10/11/2021;1213.92;1239.05
10/12/2021;1203.02;1226.08
10/13/2021;1209.31;1231.87
10/14/2021;1216.02;1239.09
10/15/2021;1231.75;1256.20
10/18/2021;1231.53;1254.96
10/19/2021;1241.62;1264.13
10/20/2021;1246.71;1269.39
10/21/2021;1238.80;1261.16
10/22/2021;1238.24;1260.70
10/25/2021;1242.00;1264.96
10/26/2021;1241.76;1266.03
10/27/2021;1230.36;1252.90
10/28/2021;1223.63;1245.24
10/29/2021;1213.91;1234.38
11/1/2021;1214.24;1234.10
11/2/2021;1213.97;1235.49
11/3/2021;1213.03;1234.08
11/4/2021;1218.59;1241.25
11/5/2021;1215.01;1237.07
11/8/2021;1219.98;1241.78
11/9/2021;1224.53;1246.75
11/10/2021;1224.66;1246.83
11/11/2021;1230.75;1251.06
11/12/2021;1234.72;1256.50
11/15/2021;1236.49;1259.47
11/16/2021;1239.01;1261.88
11/17/2021;1235.37;1257.90
11/18/2021;1223.64;1244.46
11/19/2021;1219.46;1239.39
11/22/2021;1211.86;1234.42
11/23/2021;1205.73;1226.92
11/24/2021;1204.28;1225.15
11/25/2021;1205.93;1227.83
11/26/2021;1175.56;1193.73
11/29/2021;1171.10;1191.43
11/30/2021;1165.37;1184.32
12/1/2021;1178.34;1199.05
12/2/2021;1186.44;1208.34
12/3/2021;1177.53;1198.65
12/6/2021;1167.84;1187.04
12/7/2021;1187.52;1209.29
12/8/2021;1193.52;1215.63
12/9/2021;1199.65;1223.30
12/10/2021;1191.36;1214.38
12/13/2021;1183.97;1206.54
12/14/2021;1175.59;1197.39
12/15/2021;1168.95;1191.45
12/16/2021;1177.74;1199.49
12/17/2021;1170.49;1190.80
12/20/2021;1145.42;1165.44
12/21/2021;1158.66;1179.23
12/22/2021;1164.69;1186.63
12/23/2021;1174.29;1195.97
12/24/2021;1175.35;1197.24
12/27/2021;1176.82;1199.67
12/28/2021;1182.22;1205.16
12/29/2021;1174.27;1196.80
12/30/2021;1179.06;1200.22
12/31/2021;1187.60;1209.90
1/3/2022;1189.03;1212.56
1/4/2022;1190.10;1214.22
1/5/2022;1178.87;1201.41
1/6/2022;1172.86;1195.67
1/7/2022;1180.60;1205.18
1/10/2022;1186.30;1211.19
1/11/2022;1195.20;1219.45
1/12/2022;1217.57;1242.96
1/13/2022;1214.16;1238.52
1/14/2022;1208.75;1232.62
1/17/2022;1206.35;1229.42
1/18/2022;1193.90;1215.45
1/19/2022;1192.22;1213.09
1/20/2022;1206.63;1228.69
1/21/2022;1194.77;1215.37
1/24/2022;1172.75;1192.10
1/25/2022;1161.66;1179.17
1/26/2022;1162.84;1180.88
1/27/2022;1144.86;1161.66
1/28/2022;1144.79;1161.80
1/31/2022;1160.89;1178.73
2/1/2022;1166.34;1184.58
2/2/2022;1165.94;1184.83
2/3/2022;1163.51;1182.30
2/4/2022;1173.00;1193.57
2/7/2022;1172.01;1192.17
2/8/2022;1172.51;1193.87
2/9/2022;1191.01;1214.48
2/10/2022;1200.59;1224.27
2/11/2022;1189.84;1212.72
2/14/2022;1169.90;1190.86
2/15/2022;1178.22;1198.34
2/16/2022;1192.80;1213.86
2/17/2022;1191.37;1212.04
2/18/2022;1182.01;1202.13
2/21/2022;1170.72;1188.95
2/22/2022;1157.93;1175.18
2/23/2022;1159.28;1176.59
2/24/2022;1109.38;1122.16
2/25/2022;1126.85;1141.70
2/28/2022;1126.08;1139.71
3/1/2022;1131.17;1143.47
3/2/2022;1123.89;1135.45
3/3/2022;1128.39;1140.26
3/4/2022;1102.44;1111.44
3/7/2022;1066.72;1072.21
3/8/2022;1055.74;1060.62
3/9/2022;1053.05;1072.04
3/10/2022;1065.02;1085.93
3/11/2022;1050.21;1069.87
3/14/2022;1022.48;1043.30
3/15/2022;996.51;1017.72
3/16/2022;1045.30;1070.41
3/17/2022;1082.38;1110.11
3/18/2022;1085.08;1091.64
3/21/2022;1078.40;1082.72
3/22/2022;1093.12;1098.68
3/23/2022;1101.74;1107.39
3/24/2022;1099.18;1102.31
3/25/2022;1088.76;1091.39
3/28/2022;1087.89;1089.66
3/29/2022;1099.04;1101.96
3/30/2022;1111.12;1115.46
3/31/2022;1104.62;1109.08
4/1/2022;1108.73;1113.11
4/4/2022;1123.46;1130.85
4/5/2022;1119.54;1126.92
4/6/2022;1106.65;1111.80
4/7/2022;1090.67;1094.01
4/8/2022;1092.90;1096.36
4/11/2022;1077.76;1078.84
4/12/2022;1075.82;1076.54
4/13/2022;1084.35;1086.35
4/14/2022;1082.88;1084.62
4/15/2022;1078.60;1079.97
4/18/2022;1072.31;1071.90
4/19/2022;1063.35;1062.81
4/20/2022;1063.26;1063.00
4/21/2022;1056.02;1056.05
4/22/2022;1044.75;1043.87
4/25/2022;1016.21;1013.83
4/26/2022;1019.12;1018.18
4/27/2022;1013.25;1010.91
4/28/2022;1022.11;1020.35
4/29/2022;1041.84;1042.81
5/2/2022;1037.76;1038.55
5/3/2022;1034.96;1035.22
5/4/2022;1029.85;1028.80
5/5/2022;1025.37;1024.61
5/6/2022;999.63;996.14
5/9/2022;982.23;978.19
5/10/2022;975.41;971.31
5/11/2022;978.16;975.38
5/12/2022;955.70;953.47
5/13/2022;971.87;970.45
5/16/2022;974.94;974.46
5/17/2022;997.01;998.32
5/18/2022;999.12;1000.70
5/19/2022;982.05;982.27
5/20/2022;1001.03;1003.75
5/23/2022;1000.74;1003.59
5/24/2022;984.31;987.14
5/25/2022;986.35;987.93
5/26/2022;989.83;991.72
5/27/2022;1008.45;1012.52
5/30/2022;1029.28;1033.34
5/31/2022;1040.53;1045.39
6/1/2022;1032.07;1036.60
6/2/2022;1026.23;1031.69
6/3/2022;1025.37;1030.48
6/6/2022;1034.09;1039.24
6/7/2022;1024.12;1029.50
6/8/2022;1035.04;1041.95
6/9/2022;1028.99;1035.59
6/10/2022;1016.89;1022.95
6/13/2022;979.80;985.52
6/14/2022;980.51;986.83
6/15/2022;982.33;987.70
6/16/2022;970.72;975.57
6/17/2022;966.93;972.04
6/20/2022;961.06;967.53
6/21/2022;977.27;983.30
6/22/2022;954.89;961.25
6/23/2022;956.16;963.03
6/24/2022;971.38;978.80
6/27/2022;987.13;994.71
6/28/2022;988.75;995.39
6/29/2022;973.20;978.10
6/30/2022;961.10;965.91
7/1/2022;952.94;957.92
7/4/2022;952.49;957.10
7/5/2022;951.40;956.66
7/6/2022;941.41;945.10
7/7/2022;954.40;958.67
7/8/2022;959.46;964.11
7/11/2022;943.08;947.80
7/12/2022;929.52;932.79
7/13/2022;932.69;936.82
7/14/2022;927.97;931.94
7/15/2022;924.90;928.21
7/18/2022;942.53;946.25
7/19/2022;942.79;945.80
7/20/2022;949.05;951.65
7/21/2022;953.11;955.28
7/22/2022;952.86;954.92
7/25/2022;950.17;953.15
7/26/2022;952.12;954.97
7/27/2022;952.64;955.29
7/28/2022;960.18;962.69
7/29/2022;957.98;960.49
8/1/2022;959.63;961.49
8/2/2022;949.56;950.99
8/3/2022;950.43;952.63
8/4/2022;958.59;960.61
8/5/2022;966.78;969.17
8/8/2022;965.98;967.55
8/9/2022;966.02;967.52
8/10/2022;962.34;962.78
8/11/2022;978.06;979.07
8/12/2022;980.98;982.58
8/15/2022;979.73;981.45
8/16/2022;979.21;980.75
8/17/2022;980.36;981.90
8/18/2022;974.94;976.25
8/19/2022;967.18;968.83
8/22/2022;957.61;958.28
8/23/2022;955.72;957.00
8/24/2022;952.45;953.67
8/25/2022;969.16;970.76
8/26/2022;972.13;973.81
8/29/2022;957.82;958.64
8/30/2022;959.59;962.30
8/31/2022;960.98;965.00
9/1/2022;944.34;948.59
9/2/2022;940.89;944.41
9/5/2022;936.88;941.01
9/6/2022;934.23;939.05
9/7/2022;926.09;930.58
9/8/2022;927.79;933.08
