Date;MSCI;SAMCO@20241018
3/7/2022;1226.61;1177.30
3/8/2022;1212.84;1162.63
3/9/2022;1229.73;1182.24
3/10/2022;1246.28;1198.86
3/11/2022;1242.53;1192.29
3/14/2022;1225.09;1171.89
3/15/2022;1205.13;1151.07
3/16/2022;1233.49;1187.29
3/17/2022;1264.95;1221.04
3/18/2022;1273.92;1220.22
3/21/2022;1272.24;1215.26
3/22/2022;1282.46;1226.82
3/23/2022;1289.55;1234.41
3/24/2022;1295.31;1238.83
3/25/2022;1292.04;1231.76
3/28/2022;1285.53;1225.57
3/29/2022;1297.86;1236.43
3/30/2022;1309.33;1248.66
3/31/2022;1307.80;1244.16
4/1/2022;1314.14;1251.04
4/4/2022;1327.13;1265.79
4/5/2022;1329.00;1267.02
4/6/2022;1320.92;1258.73
4/7/2022;1301.41;1236.41
4/8/2022;1307.39;1242.47
4/11/2022;1293.46;1225.41
4/12/2022;1286.21;1217.47
4/13/2022;1295.50;1227.25
4/14/2022;1297.17;1230.26
4/18/2022;1282.75;1214.27
4/19/2022;1283.14;1213.13
4/20/2022;1285.19;1213.78
4/21/2022;1285.96;1211.78
4/22/2022;1270.15;1199.64
4/25/2022;1236.84;1165.17
4/26/2022;1237.63;1167.12
4/27/2022;1227.39;1157.99
4/28/2022;1230.85;1163.44
4/29/2022;1238.93;1173.83
5/2/2022;1229.56;1166.63
5/3/2022;1229.58;1167.39
5/4/2022;1224.46;1162.96
5/5/2022;1222.87;1159.73
5/6/2022;1197.16;1132.79
5/9/2022;1167.52;1103.74
5/10/2022;1162.66;1099.98
5/11/2022;1157.03;1096.44
5/12/2022;1131.82;1072.85
5/13/2022;1151.09;1093.68
5/16/2022;1156.20;1100.07
5/17/2022;1178.38;1121.02
5/18/2022;1179.47;1123.36
5/19/2022;1164.33;1108.95
5/20/2022;1180.60;1125.02
5/23/2022;1184.13;1129.16
5/24/2022;1168.82;1113.23
5/25/2022;1167.43;1114.62
5/26/2022;1173.33;1121.23
5/27/2022;1187.91;1134.58
5/31/2022;1215.56;1165.17
6/1/2022;1213.61;1162.08
6/2/2022;1209.65;1158.01
6/3/2022;1207.12;1155.31
6/6/2022;1205.45;1155.98
6/7/2022;1193.70;1144.52
6/8/2022;1195.75;1148.48
6/9/2022;1191.18;1142.27
6/10/2022;1176.84;1128.34
6/13/2022;1131.78;1086.95
6/14/2022;1127.46;1085.83
6/15/2022;1126.97;1083.53
6/16/2022;1113.10;1069.25
6/17/2022;1105.29;1062.06
6/21/2022;1104.97;1064.13
6/22/2022;1080.39;1039.60
6/23/2022;1078.65;1038.38
6/24/2022;1095.77;1057.11
6/27/2022;1113.73;1074.48
6/28/2022;1109.22;1071.97
6/29/2022;1096.84;1057.82
6/30/2022;1082.76;1043.72
7/1/2022;1068.49;1029.79
7/5/2022;1064.97;1030.29
7/6/2022;1054.16;1017.12
7/7/2022;1070.30;1033.45
7/8/2022;1076.27;1039.22
7/11/2022;1068.22;1029.75
7/12/2022;1050.84;1011.93
7/13/2022;1055.56;1016.87
7/14/2022;1050.93;1013.28
7/15/2022;1050.54;1010.49
7/18/2022;1067.96;1027.66
